번호	시도	군구	일련번호	인구(2005)	인구변화율(70-05)	인구밀도(2005)	노령화율(2005)	소득세할주민세(01-05평균)	개별공시지가 평균지가(2005)	총사업체종사자수(2001)	총사업체종사자수(2005)	총사업체종사자수변화율(01-05)	총사업체종사자수증감폭(01-05)	재정력지수(01-05평균)	지방세징수액(2002)	지방세징수액(2005)	1인당지방세징수액(2005)	지방세징수액증가율(02-05)	지방세징수액증감폭(02-05)	의료병상수(2005)	사설학원강사수(2005)	도로율(2005)	상하수도보급률(2005)
34	부산광역시	해운대구	44	393718	14.77382389	7653.926905	7.696324676	13148757.8	235475.072	72326	78117	8.006802533	5791	49.19099248	194969689	216295452	549.3664298	10.93798893	21325763	2003	1350	6.504909409	70.84029686
35	부산광역시	사하구	116	360007	8.618701757	8804.279775	7.256062525	11158927.4	269515.9957	107025	102977	-3.782293857	-4048	42.56686274	140795714	134652289	374.0268634	-4.363360805	-6143425	2645	1198	8.577850575	104.0133942
36	부산광역시	금정구	174	259168	6.929281334	3974.969325	8.536524017	9874281.2	117008.3252	87851	76947	-12.41192474	-10904	33.20913458	104219334	110255493	425.4209355	5.791784277	6036159	3271	1311	5.044402301	100.8708637
37	부산광역시	강서구(부산)	166	46638	-0.838120636	259.2296148	14.59782181	4054197.4	68649.7922	35600	56708	59.29213483	21108	24.46112615	42647075	85419454	1831.541961	100.2938162	42772379	8	25	4.255658329	90.94515202
38	부산광역시	연제구	48	211799	3.682860817	17533.0298	8.424731717	7698718.8	591836.2869	66425	73313	10.36958976	6888	28.58593787	115556462	92977004	438.9869829	-19.5397623	-22579458	2134	859	13.62762417	102.8054901
39	부산광역시	수영구	200	172673	7.708258761	16912.14496	9.667864962	8019810.6	602523.6231	40286	42302	5.004219828	2016	32.43732095	82904070	84537382	489.5807799	1.970122818	1633312	1623	659	15.26129481	103.8074858
40	부산광역시	사상구	162	274799	17.11030456	7667.382813	6.408684481	8619473.2	334453.7828	127853	121254	-5.161396291	-6599	38.87780532	128892632	119433845	434.6225605	-7.338500932	-9458787	3870	570	9.309529855	101.613543
41	부산광역시	기장군	187	73031	1.414125463	335.1275698	12.38589583	2769436.8	25575.17671	26606	28507	7.145004886	1901	40.434	55167281	55445413	759.2038039	0.504161153	278132	432	194	1.952333471	46.59117361
42	대구광역시	중구(대구)	197	74765	-2.015873453	10560.02825	13.44713745	9234915.8	1293716.479	91505	76620	-16.26687066	-14885	27.808	92572519	81229196	1086.460189	-12.25344532	-11343323	2817	945	23.54094633	107.9288437
43	대구광역시	동구(대구)	178	334298	2.793452842	1833.880081	9.749815049	7219843.6	53265.75684	74746	79546	6.421748321	4800	15.634	115844434	127371783	381.0126983	9.950714594	11527349	2227	1014	4.09120994	102.2219696
